tag,tag_description,category,threshold_low,threshold_high,threshold_type,agrregation_rule,uom,legacy_tag_id,metric,component,asset
MBZ_AXL_DISP_04,Compressor BCL 509/A shaft axial displacement,Axial displacement,-0.5,0.5,Up/Down,Avg,mm,75ZI801BB.pv,Axial displacement [mm],Axial displacement-MBZ_AXL_DISP_04,MBZ
MBZ_PRESS_01,Lube oil main pump delivery pressure,Pressure,9,,Down,Min,kg/cm2,75PI808.pv,Pressure [kg/cm2],Pressure-MBZ_PRESS_01,MBZ
MBZ_PRESS_02,Lube oil header pressure,Pressure,1.8,,Down,Min,kg/cm2,75PI823.pv,Pressure [kg/cm2],Pressure-MBZ_PRESS_02,MBZ
MBZ_VIBR_02,Steam turbine NG40/32 journal bearing rad. Vibration,Vibration,,89,Up,Max,Micron,75XI822BY.pv,Vibration [Micron],Vibration-MBZ_VIBR_02,MBZ
MBZ_VIBR_03,Compressor BCL509/journal bearing rad. Vibration,Vibration,,89,Up,Max,Micron,75XI823BX.pv,Vibration [Micron],Vibration-MBZ_VIBR_03,MBZ
MBZ_VIBR_04,Compressor BCL509/journal bearing rad. Vibration,Vibration,,89,Up,Max,Micron,75XI824BX.pv,Vibration [Micron],Vibration-MBZ_VIBR_04,MBZ
MBZ_SPD_01,Shutdown indicator when value <100,Speed,6050,8500,Up/Down,Avg,rpm,75SI865R.pv,Speed [rpm],Speed-MBZ_SPD_01,MBZ
MBZ_TEMP_04,Steam turbine NG 40/32 thrust bearing temperature,Temperature,,120,Up,Max,degrees_C,75TI828.pv,Temperature [degrees_C],Temperature-MBZ_TEMP_04,MBZ
MBZ_TEMP_05,Steam turbine NG 40/32 journal bearing temperature,Temperature,,120,Up,Max,degrees_C,75TI824.pv,Temperature [degrees_C],Temperature-MBZ_TEMP_05,MBZ
MBZ_TEMP_06,Compressor BCL 509/A thrust bearing temperature,Temperature,,120,Up,Max,degrees_C,75TI829.pv,Temperature [degrees_C],Temperature-MBZ_TEMP_06,MBZ
